timeList,value
"29,11,2017,06,58,55",0
"29,11,2017,06,59,02",16
"29,11,2017,06,59,03",32
"29,11,2017,06,59,04",48
"29,11,2017,06,59,06",64
"29,11,2017,06,59,19",80
"29,11,2017,06,59,19",96
"29,11,2017,06,59,19",112
"29,11,2017,06,59,30",128
"29,11,2017,06,59,37",144
"29,11,2017,06,59,37",160
"29,11,2017,07,00,19",176
"29,11,2017,07,00,21",192
"29,11,2017,13,31,27",208
"29,11,2017,13,31,28",224
"29,11,2017,13,38,03",240
"29,11,2017,13,38,04",256
"29,11,2017,13,38,07",272
"29,11,2017,13,38,19",288
"29,11,2017,13,38,20",304
"29,11,2017,13,38,20",320
"29,11,2017,13,38,20",336
"29,11,2017,13,38,20",352
"29,11,2017,13,38,20",368
"29,11,2017,13,38,20",384
"29,11,2017,13,38,20",400
"29,11,2017,13,38,21",416
"29,11,2017,13,38,21",432
"29,11,2017,13,38,23",448
"29,11,2017,13,46,46",464
"29,11,2017,13,46,50",480
"29,11,2017,13,46,53",496
"29,11,2017,13,46,54",512
"29,11,2017,13,47,04",528
"29,11,2017,13,47,05",544
"29,11,2017,13,47,16",560
"29,11,2017,13,47,16",576
"29,11,2017,13,47,19",592
"29,11,2017,13,47,20",608
"29,11,2017,13,49,25",624
"29,11,2017,13,49,26",640
"29,11,2017,13,49,32",656
"29,11,2017,13,49,34",672
"29,11,2017,13,49,37",688
"29,11,2017,13,51,40",704
"29,11,2017,13,51,41",720
"29,11,2017,13,51,44",736
"29,11,2017,13,51,44",752
"29,11,2017,13,51,46",768
"29,11,2017,13,51,49",784
"29,11,2017,13,57,04",800
"29,11,2017,14,04,57",816
"29,11,2017,14,05,10",832
"29,11,2017,14,05,12",848
"29,11,2017,14,05,16",864
"29,11,2017,14,05,22",880
"29,11,2017,14,05,24",896
"29,11,2017,14,05,28",912
"29,11,2017,14,05,35",928
"29,11,2017,14,05,37",944
"29,11,2017,14,06,05",960
"29,11,2017,14,06,10",976
"29,11,2017,14,31,33",992
"29,11,2017,14,33,21",1008
"29,11,2017,14,33,22",1024
"29,11,2017,14,33,22",1040
"29,11,2017,14,33,22",1056
"29,11,2017,14,33,22",1072
"29,11,2017,14,33,22",1088
"29,11,2017,14,33,23",1104
"29,11,2017,14,33,23",1120
"29,11,2017,14,33,23",1136
"29,11,2017,14,33,23",1152
"29,11,2017,14,33,26",1168
"29,11,2017,14,38,07",1184
"29,11,2017,14,38,08",1200
"29,11,2017,14,38,09",1216
"29,11,2017,14,38,13",1232
"29,11,2017,14,38,40",1248
"29,11,2017,14,38,43",1264
"29,11,2017,14,52,51",1280
"29,11,2017,14,53,22",1296
"29,11,2017,14,53,24",1312
"29,11,2017,14,54,55",1328
"29,11,2017,14,55,46",1344
"29,11,2017,14,55,53",1360
"29,11,2017,14,55,56",1376
"29,11,2017,14,56,00",1392
"29,11,2017,14,56,04",1408
"29,11,2017,14,56,08",1424
"29,11,2017,14,56,08",1440
"29,11,2017,14,56,17",1456
"29,11,2017,14,56,18",1472
"29,11,2017,15,00,05",1488
"29,11,2017,15,00,53",1504
"29,11,2017,15,00,53",1520
"29,11,2017,15,00,55",1536
"29,11,2017,15,01,00",1552
"29,11,2017,15,01,04",1568
"29,11,2017,15,04,07",1584
"29,11,2017,15,04,10",1600
"29,11,2017,15,04,11",1616
"29,11,2017,15,04,31",1632
"29,11,2017,15,04,34",1648
"29,11,2017,15,04,35",1664
"29,11,2017,15,04,41",1680
"29,11,2017,15,05,11",1696
"29,11,2017,15,05,19",1712
"29,11,2017,15,05,20",1728
"29,11,2017,15,05,24",1744
"29,11,2017,15,05,30",1760
"29,11,2017,15,05,35",1776
"29,11,2017,15,07,26",1792
"29,11,2017,15,07,44",1808
"29,11,2017,15,07,44",1824
"29,11,2017,15,07,45",1840
"29,11,2017,15,07,45",1856
"29,11,2017,15,07,45",1872
"29,11,2017,15,07,45",1888
"29,11,2017,15,07,45",1904
"29,11,2017,15,07,45",1920
"29,11,2017,15,07,46",1936
"29,11,2017,15,07,46",1952
"29,11,2017,15,07,49",1968
"29,11,2017,15,07,57",1984
"29,11,2017,15,07,57",2000
"29,11,2017,15,07,58",2016
"29,11,2017,15,07,58",2032
"29,11,2017,15,08,04",2048
"29,11,2017,15,08,07",2064
"29,11,2017,15,08,07",2080
"29,11,2017,15,08,10",2096
"29,11,2017,15,08,27",2112
"29,11,2017,15,08,28",2128
"29,11,2017,15,08,46",2144
"29,11,2017,15,08,48",2160
"29,11,2017,15,08,49",2176
"29,11,2017,15,08,52",2192
"29,11,2017,15,11,18",2208
"29,11,2017,15,11,21",2224
"29,11,2017,15,11,21",2240
"29,11,2017,15,11,24",2256
"29,11,2017,15,11,32",2272
"29,11,2017,15,11,36",2289
"29,11,2017,15,11,36",2305
"29,11,2017,15,11,41",2321
"29,11,2017,15,12,40",2337
"29,11,2017,15,12,40",2353
"29,11,2017,15,12,44",2369
"29,11,2017,15,12,48",2385
"29,11,2017,15,12,58",2401
"29,11,2017,15,13,01",2417
"29,11,2017,15,13,12",2433
"29,11,2017,15,13,12",2449
"29,11,2017,15,13,16",2465
"29,11,2017,15,40,24",2481
"29,11,2017,15,40,29",2497
"29,11,2017,15,40,31",2513
"29,11,2017,15,40,33",2529
"29,11,2017,15,40,42",2545
"29,11,2017,15,40,48",2561
"29,11,2017,15,40,49",2577
"29,11,2017,15,40,53",2593
"29,11,2017,15,40,56",2609
"29,11,2017,15,41,03",2625
"29,11,2017,15,41,04",2641
"29,11,2017,15,41,25",2657
"29,11,2017,15,41,26",2673
"29,11,2017,15,41,34",2689
"29,11,2017,15,41,35",2705
"29,11,2017,15,41,52",2721
"29,11,2017,15,41,55",2737
"29,11,2017,15,41,55",2753
"29,11,2017,15,42,00",2769
"29,11,2017,15,42,03",2785
"29,11,2017,15,42,11",2801
"29,11,2017,15,42,19",2817
"29,11,2017,15,43,33",2833
"29,11,2017,15,43,36",2849
"29,11,2017,15,43,37",2865
"29,11,2017,15,43,40",2881
"29,11,2017,15,43,42",2897
"29,11,2017,15,43,55",2913
"29,11,2017,15,56,11",2929
"29,11,2017,15,56,15",2945
"29,11,2017,15,56,16",2961
"29,11,2017,15,56,21",2977
"29,11,2017,15,56,38",2993
"29,11,2017,15,56,39",3009
"29,11,2017,15,56,44",3025
"29,11,2017,16,08,00",3041
"29,11,2017,16,08,00",3057
"29,11,2017,16,08,06",3073
"29,11,2017,16,14,46",3089
"29,11,2017,16,14,53",3105
"29,11,2017,16,15,02",3121
"29,11,2017,16,15,06",3137
"29,11,2017,16,15,10",3153
"29,11,2017,16,15,33",3169
"29,11,2017,16,15,36",3185
"29,11,2017,16,15,40",3201
"29,11,2017,16,15,42",3217
"29,11,2017,16,15,45",3233
"29,11,2017,16,15,50",3249
"29,11,2017,16,15,51",3265
"29,11,2017,16,15,56",3281
"29,11,2017,16,18,05",3297
"29,11,2017,16,18,12",3313
"29,11,2017,16,18,13",3329
"29,11,2017,16,18,16",3345
"29,11,2017,16,21,26",3361
"29,11,2017,16,21,36",3377
"29,11,2017,16,21,37",3393
"29,11,2017,16,21,37",3409
"29,11,2017,16,21,37",3425
"29,11,2017,16,21,37",3441
"29,11,2017,16,21,38",3457
"29,11,2017,16,21,38",3473
"29,11,2017,16,21,38",3489
"29,11,2017,16,21,38",3505
"29,11,2017,16,21,38",3521
"29,11,2017,16,21,41",3537
"29,11,2017,16,21,42",3553
"29,11,2017,16,21,42",3569
"29,11,2017,16,21,42",3585
"29,11,2017,16,21,42",3601
